Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
sample_16_contaminant_free_read2_unpaired	sample_16_contaminant_free_read2_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	490911.0	48.6 Mbp	0.0	80-151	61.0	98.54904729524796	98.58947548537311	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_17_contaminant_free_read1_paired	sample_17_contaminant_free_read1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50987176.0	7.5 Gbp	0.0	80-151	62.0	90.06201070523305	147.75284954004906	150	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_17_contaminant_free_read1_unpaired	sample_17_contaminant_free_read1_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3510489.0	354.3 Mbp	0.0	80-151	65.0	95.17237475964609	100.42687614175689	98	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
sample_17_contaminant_free_read2_paired	sample_17_contaminant_free_read2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50987176.0	7.5 Gbp	0.0	80-151	62.0	90.34855312868856	147.24721733951299	150	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_17_contaminant_free_read2_unpaired	sample_17_contaminant_free_read2_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	485598.0	48.9 Mbp	0.0	80-151	62.0	97.15182298748948	100.2892886708759	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_18_contaminant_free_read1_paired	sample_18_contaminant_free_read1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	59868971.0	8.8 Gbp	0.0	80-151	61.0	90.0517899582642	146.55553471931228	150	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_18_contaminant_free_read1_unpaired	sample_18_contaminant_free_read1_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4433867.0	448.9 Mbp	0.0	80-151	63.0	95.28613831607706	100.7410082440452	98	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_18_contaminant_free_read2_paired	sample_18_contaminant_free_read2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	59868971.0	8.7 Gbp	0.0	80-151	61.0	90.38950124531752	146.0399544866071	150	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_18_contaminant_free_read2_unpaired	sample_18_contaminant_free_read2_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	630333.0	63.6 Mbp	0.0	80-151	61.0	97.75355145896822	100.50428900279694	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_19_contaminant_free_read1_paired	sample_19_contaminant_free_read1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45612800.0	6.7 Gbp	0.0	80-151	61.0	91.59236173778454	146.0022758523923	150	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_19_contaminant_free_read1_unpaired	sample_19_contaminant_free_read1_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3301488.0	334.1 Mbp	0.0	80-151	63.0	95.10432678337442	100.6820718415454	98	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
sample_19_contaminant_free_read2_paired	sample_19_contaminant_free_read2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45612800.0	6.6 Gbp	0.0	80-151	61.0	91.86544725401893	145.5430131892802	150	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_19_contaminant_free_read2_unpaired	sample_19_contaminant_free_read2_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	416521.0	42 Mbp	0.0	80-151	61.0	97.61955470026676	100.35346117002504	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_20_contaminant_free_read1_paired	sample_20_contaminant_free_read1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	83576748.0	12.4 Gbp	0.0	80-151	60.0	88.7680621077824	148.47017861953663	150	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_20_contaminant_free_read1_unpaired	sample_20_contaminant_free_read1_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5544923.0	561.8 Mbp	0.0	80-151	63.0	95.54844420143276	100.80412550363639	98	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
sample_20_contaminant_free_read2_paired	sample_20_contaminant_free_read2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	83576748.0	12.4 Gbp	0.0	80-151	60.0	89.11012380063774	148.03560401751932	150	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_20_contaminant_free_read2_unpaired	sample_20_contaminant_free_read2_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	916758.0	92.9 Mbp	0.0	80-151	60.0	97.46155871903002	100.87835175695221	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_21_contaminant_free_read1_paired	sample_21_contaminant_free_read1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34088225.0	4.1 Gbp	0.0	80-151	64.0	95.92162206045487	122.22564166952078	124	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_21_contaminant_free_read1_unpaired	sample_21_contaminant_free_read1_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	549379.0	54.1 Mbp	0.0	80-151	65.0	96.61802754821181	98.10603244754532	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
